Bairro,Endereco,Preco,Bedroom2,Bathroom
Mitcham,20 Harrison St,5000000,16,8
Ashburton,115 Ashburn Gr,2950000,9,7
Vermont South,440 Burwood Hwy,1600000,10,6
Fawkner,39 Lynch Rd,751000,9,6
Emerald,10 Stewart Rd,910000,8,6
Camberwell,54 Radnor St,5450000,7,6
Kew,15 Barry St,6500000,6,6
Brighton East,2 Curley St,3210000,6,6
Brighton,89 South Rd,2020000,5,6
Melton,213 Station Rd,710000,12,5
Hawthorn,2 College St,2825000,6,5
Ashburton,29A Yuile St,3510000,5,5
Strathmore,18 Glenview Rd,3300000,5,5
Kew,23 Dean St,3275000,5,5
Brighton East,92 Thomas St,3207000,5,5
Kew,7 Molesworth St,3160000,5,5
Kew East,17 Hamilton St,3028000,5,5
Mount Waverley,24 Princetown Rd,2820000,5,5
Mount Waverley,44 William St,2558000,5,5
Mount Waverley,46 Sesame St,2248000,5,5
Doncaster,49 Burgundy Dr,2168000,5,5
Bentleigh East,3 Greenview Ct,2055000,5,5
Ashwood,13 Maroondah Rd,1975000,5,5
South Morang,141 Hawkstowe Pde,905000,5,5
Chelsea Heights,11 Rebecca Cl,835500,5,5
Malvern East,17 Millewa Av,2830000,4,5
St Kilda,20a Wordsworth St,2810000,4,5
Heidelberg Heights,78 Edwin St,1587500,4,5
Avondale Heights,6 Lovett Dr,1200000,4,5
Berwick,9 Geranium Ct,920000,4,5
South Yarra,16 Oxford St,1510000,3,5
Westmeadows,32 Eyre St,892250,8,4
Kew,43 Rowland St,4050000,7,4
Burwood,11 McComas Gr,1642000,7,4
Middle Park,33 Canterbury Rd,5575000,6,4
Malvern East,24 Turner St,4700000,6,4
Templestowe,307 Church Rd,3030000,6,4
Ashburton,15 Comas Gr,2752000,6,4
Essendon,8 Monica St,2620000,6,4
Kew,13 Ermington Pl,2070000,6,4
Edithvale,91 Edithvale Rd,1850000,6,4
Beaumaris,28 Rossmith Av,1776000,6,4
Bullengarook,172 Fitzgerald Rd,1430000,6,4
Glen Waverley,15 Herriotts Bvd,1411000,6,4
